"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 31 14:08:32 GMT 2024","Thu Oct 31 14:09:33 GMT 2024","60947","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Thu Oct 31 14:08:32 GMT 2024","Thu Oct 31 14:08:55 GMT 2024","22591","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"passed","Thu Oct 31 14:09:05 GMT 2024","Thu Oct 31 14:09:42 GMT 2024","37265","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Thu Oct 31 14:09:04 GMT 2024","Thu Oct 31 14:09:05 GMT 2024","612","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Thu Oct 31 14:08:55 GMT 2024","Thu Oct 31 14:09:04 GMT 2024","9075","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Thu Oct 31 14:09:05 GMT 2024","Thu Oct 31 14:09:07 GMT 2024","2408","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Thu Oct 31 14:08:55 GMT 2024","Thu Oct 31 14:08:56 GMT 2024","466","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"failed","Thu Oct 31 14:08:32 GMT 2024","Thu Oct 31 14:08:33 GMT 2024","811","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Thu Oct 31 14:08:33 GMT 2024","Thu Oct 31 14:08:55 GMT 2024","21904","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Thu Oct 31 14:08:53 GMT 2024","Thu Oct 31 14:09:04 GMT 2024","11581","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"passed","Thu Oct 31 14:08:56 GMT 2024","Thu Oct 31 14:09:05 GMT 2024","9022","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Thu Oct 31 14:09:04 GMT 2024","Thu Oct 31 14:09:14 GMT 2024","10164","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Thu Oct 31 14:08:32 GMT 2024","Thu Oct 31 14:08:53 GMT 2024","20457","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
